game_id,team,margin,players
0022301186,BOS,10.0,Derrick White;Drew Peterson;JD Davison;Jaden Springer;Jordan Walsh;Luke Kornet;Neemias Queta;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301173,BOS,33.0,Derrick White;Drew Peterson;JD Davison;Jaden Springer;Jordan Walsh;Luke Kornet;Neemias Queta;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301167,BOS,-9.0,Al Horford;Derrick White;Jaden Springer;Jaylen Brown;Jayson Tatum;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301148,BOS,-13.0,Al Horford;Derrick White;Jaden Springer;Jaylen Brown;Jayson Tatum;Jrue Holiday;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301134,BOS,17.0,Al Horford;Derrick White;Jaden Springer;Jaylen Brown;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301118,BOS,1.0,Al Horford;Drew Peterson;Jayson Tatum;Jordan Walsh;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301105,BOS,35.0,Al Horford;Derrick White;Jaylen Brown;Jayson Tatum;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301087,BOS,14.0,Al Horford;Derrick White;Jaden Springer;Jayson Tatum;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301074,BOS,12.0,Al Horford;Derrick White;Jaylen Brown;Jayson Tatum;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301060,BOS,-1.0,Al Horford;Derrick White;Jaylen Brown;Jayson Tatum;Jrue Holiday;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
0022301034,BOS,-2.0,Al Horford;Derrick White;JD Davison;Jaden Springer;Jaylen Brown;Jayson Tatum;Kristaps Porziņģis;Luke Kornet;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk
0022301023,BOS,11.0,Al Horford;Derrick White;JD Davison;Jaden Springer;Jayson Tatum;Jordan Walsh;Luke Kornet;Neemias Queta;Oshae Brissett;Payton Pritchard;Sam Hauser;Svi Mykhailiuk;Xavier Tillman
